Class,precision,recall,f1-score,support,Classifier,Config_IMG_WIDTH,Config_IMG_HEIGHT,Config_BATCH_SIZE,Config_EPOCHS,Config_SEED,Config_DATASET,Config_train_data_dir,Config_validation_data_dir,Config_k,Config_num_iterations,Config_learning_rate,Config_regularization,Config_batch_size,Config_num_models,Config_mse_threshold,Config_attack_type,Config_evaluation,Config_source_class,Config_target_class,Config_steps_per_epoch_train,Config_steps_per_epoch_val
Class 18,0.29464285714285715,0.15034168564920272,0.19909502262443438,439.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 19,0.5225225225225225,0.31351351351351353,0.39189189189189194,185.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 20,0.0,0.0,0.0,70.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 21,0.0,0.0,0.0,163.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 22,0.0,0.0,0.0,76.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 23,0.14631043256997456,0.2798053527980535,0.19214703425229743,411.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 24,0.32608695652173914,0.22556390977443608,0.26666666666666666,133.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 25,0.3581081081081081,0.22083333333333333,0.2731958762886598,240.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 26,1.0,0.013513513513513514,0.026666666666666665,74.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 27,0.6071428571428571,0.08018867924528301,0.14166666666666666,212.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 28,0.9444444444444444,0.1259259259259259,0.22222222222222218,135.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 29,0.5686653771760155,0.7882037533512064,0.6606741573033708,373.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 30,0.14285714285714285,0.007936507936507936,0.015037593984962405,126.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 31,0.0,0.0,0.0,67.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 32,0.4600790513833992,0.9282296650717703,0.6152219873150105,627.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 33,0.0,0.0,0.0,83.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 34,0.19517102615694165,0.6434494195688225,0.29949826321883444,603.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 35,0.9333333333333333,0.13861386138613863,0.24137931034482765,101.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 36,0.6111111111111112,0.14864864864864866,0.23913043478260868,74.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 37,0.0,0.0,0.0,50.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 38,0.14035087719298245,0.028933092224231464,0.047976011994003,553.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 39,1.0,0.03278688524590164,0.06349206349206349,122.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 40,0.3128834355828221,0.1234866828087167,0.17708333333333331,413.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 41,0.12903225806451613,0.009478672985781991,0.01766004415011038,422.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 42,0.4052863436123348,0.2154566744730679,0.28134556574923547,427.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
accuracy,0.3983310626702997,0.3983310626702997,0.3983310626702997,0.3983310626702997,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
macro avg,0.3977985589507567,0.23521154930737279,0.21942356341319916,11744.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
weighted avg,0.4236577785502007,0.3983310626702997,0.3365149548302764,11744.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,5,0.1,pgd,Poisoned,3,7,857,367
Class 0,0.0,0.0,0.0,64.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 1,0.33024691358024694,0.6484848484848484,0.43762781186094074,660.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 2,0.23694779116465864,0.7625201938610663,0.3615472998851015,619.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 3,0.4730941704035874,0.5382653061224489,0.5035799522673031,392.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 4,0.8031704095112285,0.9426356589147287,0.8673323823109842,645.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 5,0.7261306532663316,0.8906009244992296,0.7999999999999999,649.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 6,0.5,0.2073170731707317,0.29310344827586204,246.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 7,0.8095238095238095,0.08673469387755102,0.15668202764976957,196.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 8,0.6666666666666666,0.016,0.03125,125.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 9,0.5632411067193676,0.8456973293768546,0.6761565836298932,337.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 10,0.532133676092545,0.575,0.5527369826435247,360.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 11,0.3333333333333333,0.016666666666666666,0.031746031746031744,60.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 12,0.4911242603550296,0.11925287356321838,0.19190751445086704,696.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 13,0.0,0.0,0.0,89.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
Class 14,0.0,0.0,0.0,113.0,Logistic Regression,30,30,32,2,42,GTSRB,./datasets/gtsrb/train,./datasets/gtsrb/val,5,10,0.001,0.01,128,10,0.1,pgd,Clean,3,7,857,367
